symbol,time_utc,price,ret5_pct,range_pct,body_pct,close_pos,quote_volume_5m,volume24_usd,rvol,vol_accel_1h,range12_pct,trades,trades_accel,taker_buy_share,mfe_30m_pct,mae_30m_pct,mfe_1h_pct,mae_1h_pct,mfe_2h_pct,mae_2h_pct,mfe_4h_pct,mae_4h_pct,label,prior_fail_7d,score,pts_impulse,pts_shape,pts_rvol,pts_liq,pts_combo,pts_penalty,why
GTCUSDT,2026-03-20 03:40:00+00:00,0.089,6.741573033707882,11.363636363636376,60.0,0.7,448845.6926,1853105.3602,339.9037912718518,432.5248711977045,8.045977011494255,1674,47.82857142857143,0.6499552668314946,29.21348314606742,-6.741573033707859,29.21348314606742,-7.86516853932584,29.21348314606742,-7.86516853932584,29.21348314606742,-7.86516853932584,REAL_CONTINUATION,0,38,14.97,7.33,20.0,10.0,0.0,-14.0,"ret5=6.74 modest | close_pos=0.70->5.3, body=60.0->2.0 | rvol=339.9 | q5=448846 | no combo | vol_accel>=80 without wide body −8 | vol_accel>=120 and weak close −6"
BRUSDT,2026-03-21 06:05:00+00:00,0.05627,8.867958059356674,22.10769504176291,40.11254019292608,0.4011254019292607,907762.84685,1724304.8482,959.9279320841486,2654.7678151433124,6.510177883733714,9313,238.28571428571428,0.6055682292985882,12.457792784787625,7.2152123689354974,12.457792784787625,7.144126532788353,15.514483739114992,5.900124400213258,15.97654167407143,5.900124400213258,FAILED_OR_PARTIAL,0,24,22.23,0.0,16.0,10.0,0.0,-24.0,"ret5=8.87 strong | close_pos=0.40->0.0, body=40.1->0.0 | rvol=959.9 | q5=907763 | no combo | close in lower half −10 | vol_accel>=80 without wide body −8 | vol_accel>=120 and weak close −6"
MAGMAUSDT,2026-03-21 17:05:00+00:00,0.0982,10.610997963340129,15.31568228105906,69.28191489361703,0.6928191489361702,740520.83856,1393338.40821,734.8336996921192,403.8583880335631,4.568841325375583,7477,111.04455445544556,0.626098936380484,24.949083503055004,8.64562118126273,37.88187372708758,8.64562118126273,42.05702647657843,8.64562118126273,52.647657841140536,8.64562118126273,REAL_CONTINUATION,0,51,30.0,9.0,16.0,10.0,0.0,-14.0,"ret5=10.61 very strong | close_pos=0.69->5.1, body=69.3->3.9 | rvol=734.8 | q5=740521 | no combo | vol_accel>=80 without wide body −8 | vol_accel>=120 and weak close −6"
AGTUSDT,2026-03-22 03:35:00+00:00,0.006846,1.519135261466542,10.945054945054933,13.92235609103079,0.1673360107095038,120781.227107,1031131.951106,60.26995152845381,54.13604071208331,5.259214863649975,2006,23.5078125,0.6267516282637001,11.21822962313761,1.300029214139653,11.21822962313761,1.300029214139653,11.21822962313761,1.300029214139653,11.21822962313761,1.300029214139653,FAILED_OR_PARTIAL,0,3,0.0,0.0,8.0,5.0,0.0,-10.0,"ret5=1.52<5 (high-wick path) | close_pos=0.17->0.0, body=13.9->0.0 | rvol=60.3 | q5=120781 | no combo | close in lower half −10"
BLUAIUSDT,2026-03-22 13:10:00+00:00,0.006513,7.247044372792888,8.07816587167256,89.90476190476188,0.9257142857142858,317726.069727,1479602.362958,181.28072600010128,11.142217997573756,7.867694283879256,4054,9.723765740555669,0.5052544017994319,12.774451097804397,4.467987102717652,12.774451097804397,4.467987102717652,12.774451097804397,4.467987102717652,40.4575464455704,4.467987102717652,REAL_CONTINUATION,0,79,16.82,25.0,14.0,8.0,15.0,0.0,"ret5=7.25 strong | close_pos=0.93->15.0, body=89.9->10.0 | rvol=181.3 | q5=317726 | combo ret5>=7 & close>=0.80 & body>=70"
BRETTUSDT,2026-03-23 11:05:00+00:00,0.006376,5.708908406524471,6.273525721455453,91.00000000000011,0.9100000000000013,264986.371878,1695618.089489,88.42585983361712,54.158086314220185,5.083135391923999,3153,34.87188940092166,0.5179242881863629,7.543914680050201,3.575909661229604,7.543914680050201,1.4429109159347586,7.543914680050201,1.4429109159347586,7.543914680050201,1.4429109159347586,FAILED_OR_PARTIAL,0,52,10.84,25.0,8.0,8.0,0.0,0.0,"ret5=5.71 modest | close_pos=0.91->15.0, body=91.0->10.0 | rvol=88.4 | q5=264986 | no combo"
CHILLGUYUSDT,2026-03-23 11:05:00+00:00,0.00795,5.157232704402492,6.92695214105794,74.54545454545432,0.7636363636363639,175129.70719,1171835.27411,89.78208480219433,111.82377164126297,5.655526992287929,1851,44.33532934131737,0.5169754221753747,5.40880503144654,3.018867924528279,5.40880503144654,2.515723270440229,5.40880503144654,2.515723270440229,5.660377358490543,2.515723270440229,FAILED_OR_PARTIAL,0,37,8.63,12.24,8.0,8.0,0.0,0.0,"ret5=5.16 modest | close_pos=0.76->7.0, body=74.5->5.2 | rvol=89.8 | q5=175130 | no combo"
CLANKERUSDT,2026-03-23 11:05:00+00:00,25.7,5.369649805447474,5.447470817120625,98.57142857142836,0.9857142857142835,128310.0042,726501.9995,127.19053038726992,165.0633386963299,3.38316286388669,1466,59.63389830508475,0.4969775388722183,6.459143968871595,4.046692607003899,6.459143968871595,2.529182879377445,6.459143968871595,2.529182879377445,6.459143968871595,2.529182879377445,FAILED_OR_PARTIAL,0,49,9.48,25.0,14.0,5.0,0.0,-4.0,"ret5=5.37 modest | close_pos=0.99->15.0, body=98.6->10.0 | rvol=127.2 | q5=128310 | no combo | 12h compression ≤4% −4"
AGTUSDT,2026-03-23 14:55:00+00:00,0.00725,6.496551724137922,10.86566339914401,59.84752223634051,0.607369758576874,354868.957505,1675262.795628,125.33513395445648,47.350234359824775,10.575539568345338,3859,29.7036561898653,0.6578037718097982,7.227586206896541,4.593103448275859,7.268965517241366,4.593103448275859,8.648275862068955,4.4965517241379205,8.648275862068955,4.4965517241379205,FAILED_OR_PARTIAL,1,37,13.99,4.83,14.0,8.0,0.0,-4.0,"ret5=6.50 modest | close_pos=0.61->2.9, body=59.8->2.0 | rvol=125.3 | q5=354869 | no combo | 1 prior FAIL 7d −4"
AGTUSDT,2026-03-29 14:05:00+00:00,0.006413,12.521440823327625,15.125526274754383,82.7835051546392,0.827835051546392,615354.870313,1506342.7800790002,397.8301836061792,248.39876098391056,3.317011530563896,7273,33.43908045977012,0.4726351689539162,14.610946514891609,9.527522220489626,14.610946514891609,9.527522220489626,17.542491813503823,6.892250116949938,17.542491813503823,6.892250116949938,FAILED_OR_PARTIAL,1,84,30.0,16.52,20.0,10.0,15.0,-8.0,"ret5=12.52 very strong | close_pos=0.83->9.1, body=82.8->7.4 | rvol=397.8 | q5=615355 | combo ret5>=7 & close>=0.80 & body>=70 | 12h compression ≤4% −4 | 1 prior FAIL 7d −4"
