threshold,n,share_of_events,real,real_rate,lift,recall_real,mfe2h_median,mae2h_median,mfe4h_median
all,85,1.0,19,0.2235294117647059,1.0,1.0,9.725802671666273,1.5770840038622502,10.25762355415354
>=40,56,0.6588235294117647,17,0.30357142857142855,1.3580827067669172,0.8947368421052632,11.215929269324967,2.4537186927674925,11.456646652927727
>=50,40,0.47058823529411764,15,0.375,1.6776315789473684,0.7894736842105263,12.561482030268433,2.170564785843265,12.561482030268433
>=60,27,0.3176470588235294,12,0.4444444444444444,1.9883040935672514,0.631578947368421,15.726227795193305,2.521008403361336,16.49970536240424
>=70,19,0.2235294117647059,10,0.5263157894736842,2.3545706371191133,0.5263157894736842,16.49970536240424,3.296524845729132,21.33809678467033
>=80,13,0.15294117647058825,8,0.6153846153846154,2.753036437246964,0.42105263157894735,21.96531791907512,3.353241706843191,21.96531791907512
>=90,6,0.07058823529411765,5,0.8333333333333334,3.7280701754385963,0.2631578947368421,23.008455621146048,7.066767070578129,23.008455621146048
