score_bin,n,real,real_rate,mfe2h,mae2h
"[0, 10)",29,0,0.0,4.317548746518107,0.4874651810585106
"[10, 20)",16,0,0.0,6.47072145836839,0.6140176192426794
"[20, 30)",12,1,0.08333333333333333,9.465916140476848,0.48711140909088463
"[30, 40)",23,5,0.21739130434782608,10.69566780514113,3.410167350805171
"[40, 50)",36,4,0.1111111111111111,8.38477366255145,2.439088083984031
"[50, 60)",26,7,0.2692307692307692,9.707265758657336,2.1851659172376303
"[60, 70)",15,3,0.2,11.690584529226468,1.1194029850746243
"[70, 80)",15,6,0.4,12.774451097804397,1.9671019162285968
"[80, 90)",13,4,0.3076923076923077,14.43025608820041,3.353241706843191
"[90, 100)",6,5,0.8333333333333334,23.008455621146048,7.066767070578129
