threshold,n,share_of_events,real,real_rate,lift,recall_real,mfe2h_median,mae2h_median,mfe4h_median
all,193,1.0,36,0.18652849740932642,1.0,1.0,9.800872885979285,1.912928759894461,10.556807209526877
>=40,113,0.5854922279792746,30,0.26548672566371684,1.4233038348082598,0.8333333333333334,11.743993371996677,2.569593147751603,12.142152023692
>=50,77,0.39896373056994816,26,0.33766233766233766,1.8102453102453102,0.7222222222222222,12.774451097804397,2.5727826675693954,14.651022864019248
>=60,51,0.26424870466321243,19,0.37254901960784315,1.9972766884531592,0.5277777777777778,14.922842123113432,3.012633624878513,15.986323354964773
>=70,36,0.18652849740932642,16,0.4444444444444444,2.382716049382716,0.4444444444444444,15.621734587251822,3.3248832762861613,17.57479867582191
>=80,21,0.10880829015544041,10,0.47619047619047616,2.552910052910053,0.2777777777777778,17.542491813503823,4.864201319625594,19.132893496701243
>=90,8,0.04145077720207254,6,0.75,4.020833333333333,0.16666666666666666,23.008455621146048,5.160148400648257,23.008455621146048
