time_utc,symbol,score,label,entry_px,ret5_pct,mfe2_from_entry,mae2_from_entry,exit,pnl_pct_after_fee,notional_usd,pnl_usd,equity_after,drawdown_pct,R,month
2026-03-22T13:10:00+00:00,BLUAIUSDT,79,REAL_CONTINUATION,0.006985000000000001,7.247044372792888,5.153901216893342,-2.5912670007158245,time_mid,1.1813171080887586,1250.0,14.766463851109481,10014.766463851109,0.0,0.14766463851109482,2026-03
2026-03-29T14:05:00+00:00,AGTUSDT,84,FAILED_OR_PARTIAL,0.007216000000000001,12.521440823327625,4.462305986696236,-5.002771618625291,time_mid,-0.3702328159645275,1251.8458079813886,-4.634743986423387,10010.131719864685,-0.04627910199557217,-0.04627910199556594,2026-03
2026-04-01T06:20:00+00:00,LQTYUSDT,77,FAILED_OR_PARTIAL,0.30709999999999993,8.631057658294994,0.4884402474763849,-9.638554216867457,stop,-8.1,1251.2664649830856,-101.35258366362994,9908.779136201056,-1.0583105260878578,-1.0125,2026-04
2026-04-02T16:00:00+00:00,BMTUSDT,73,REAL_CONTINUATION,0.01598,8.192281651997302,17.396745932415513,-5.193992490613275,target,11.9,1238.597392025132,147.3930896509907,10056.172225852046,0.0,1.4875,2026-04
2026-04-07T14:15:00+00:00,IRYSUSDT,95,FAILED_OR_PARTIAL,0.021189999999999997,10.710553814002076,4.5304388862671185,-1.6045304388862536,time_mid,1.3629542236904324,1257.0215282315057,17.132628011729327,10073.304853863776,0.0,0.17036927796130405,2026-04
2026-04-10T12:20:00+00:00,MAVIAUSDT,88,FAILED_OR_PARTIAL,0.03143,8.267309679641755,4.740693604836133,-1.049952274896604,time_mid,1.7453706649697642,1259.163106732972,21.977063489039214,10095.281917352815,0.0,0.21817133312122053,2026-04
2026-04-11T14:20:00+00:00,AINUSDT,98,REAL_CONTINUATION,0.07093,15.1835011367327,5.343296207528536,-10.320033836176512,stop,-8.1,1261.9102396691019,-102.21472941319726,9993.067187939618,-1.012500000000005,-1.0125,2026-04
2026-04-14T04:10:00+00:00,BELUSDT,80,FAILED_OR_PARTIAL,0.1096,8.193484698914123,3.649635036496335,-6.569343065693445,time_mid,-1.5598540145985553,1249.1333984924522,-19.484657464075884,9973.582530475542,-1.2055075615875932,-0.19498175182481942,2026-04
2026-05-10T17:50:00+00:00,ALCHUSDT,92,REAL_CONTINUATION,0.0909,10.705151625867735,23.102310231023093,-4.741474147414748,target,11.9,1246.6978163094427,148.3570401408237,10121.939570616365,0.0,1.4875,2026-05
2026-05-11T05:15:00+00:00,JCTUSDT,70,FAILED_OR_PARTIAL,0.003097,7.199723087573551,4.7465288989344545,-1.6144656118824652,time_mid,1.4660316435259946,1265.2424463270456,18.548854630476885,10140.488425246842,0.0,0.18325395544074932,2026-05
2026-05-14T15:15:00+00:00,DODOXUSDT,100,REAL_CONTINUATION,0.023338,16.48614923883205,7.7255977375953355,-10.017996400719865,stop,-8.1,1267.5610531558552,-102.67244530562428,10037.815979941217,-1.012500000000005,-1.0125,2026-05
