symbol,time_utc,price,ret5_pct,range_pct,body_pct,close_pos,quote_volume_5m,volume24_usd,rvol,vol_accel_1h,range12_pct,trades,trades_accel,taker_buy_share,mfe_30m_pct,mae_30m_pct,mfe_1h_pct,mae_1h_pct,mfe_2h_pct,mae_2h_pct,mfe_4h_pct,mae_4h_pct,label
AKEUSDT,2026-07-15 04:45:00+00:00,0.0001881,13.503455608718774,17.252396166134186,78.39506172839512,0.7932098765432098,571227.6537806,1807064.2154236,282.9119885847298,73.58524992310475,3.615758229897459,7634,47.53918007265179,0.5809798478672165,49.4949494949495,13.237639553429029,68.63370547581076,13.237639553429029,128.4954811270601,13.237639553429029,308.9845826687932,13.237639553429029,REAL_CONTINUATION
1000000BOBUSDT,2026-05-03 13:45:00+00:00,0.01331,6.08564988730278,11.17824773413898,54.72972972972971,0.5945945945945948,120091.47581,730004.47779,145.0419345996333,28.09297265297598,5.849802371541513,1057,10.72189349112426,0.4904110974802084,75.95792637114951,5.559729526671675,75.95792637114951,5.559729526671675,75.95792637114951,5.559729526671675,75.95792637114951,5.559729526671675,REAL_CONTINUATION
BTRUSDT,2026-08-11 04:35:00+00:00,0.02204,12.06896551724137,14.675147660154476,82.35294117647057,0.8328173374613007,428769.12811,1879114.56433,166.28468036275638,84.25789346973939,6.309297912713463,7462,39.70909090909091,0.5498533511711136,45.689655172413794,11.842105263157876,51.27041742286751,11.842105263157876,52.63157894736843,11.842105263157876,54.12885662431941,11.842105263157876,REAL_CONTINUATION
MAGMAUSDT,2026-03-21 17:05:00+00:00,0.0982,10.610997963340129,15.31568228105906,69.28191489361703,0.6928191489361702,740520.83856,1393338.40821,734.8336996921192,403.8583880335631,4.568841325375583,7477,111.04455445544556,0.626098936380484,24.949083503055004,8.64562118126273,37.88187372708758,8.64562118126273,42.05702647657843,8.64562118126273,52.647657841140536,8.64562118126273,REAL_CONTINUATION
1000000BOBUSDT,2026-06-21 17:35:00+00:00,0.01339,4.630321135175497,16.129032258064523,28.83720930232552,0.3162790697674417,746362.12757,1555779.46533,694.1330187150324,25.804538840543675,14.334470989761105,8828,20.25932300631096,0.5054097278731782,7.542942494398797,-6.572068707991042,41.89693801344285,-6.572068707991042,41.89693801344285,-6.572068707991042,41.89693801344285,-6.572068707991042,REAL_CONTINUATION
BRUSDT,2026-06-16 05:30:00+00:00,0.11245,8.056914184081831,8.66232956064521,93.20987654321009,0.9567901234567912,265980.84723,1164627.41898,145.07809431906608,94.00933543811084,4.151149059860115,2633,42.41073825503356,0.5879616314432174,27.95020008892844,7.82570031124945,39.78657180969321,7.82570031124945,41.28056914184084,7.82570031124945,53.23254779902178,7.82570031124945,REAL_CONTINUATION
BULLAUSDT,2026-06-21 07:55:00+00:00,0.004682,6.727894062366491,7.605212561418484,88.48314606741565,0.8876404494382019,318822.346643,1582263.0666490002,120.73477964531769,65.92446165767385,3.804468038044684,5257,40.93705386112914,0.5132866837820603,37.52669799231096,6.749252456215271,38.82956001708671,6.749252456215271,38.82956001708671,6.749252456215271,38.82956001708671,6.749252456215271,REAL_CONTINUATION
BROCCOLIF3BUSDT,2026-04-05 08:35:00+00:00,0.003472,5.126728110599088,7.351225204200706,70.6349206349207,0.8809523809523807,145210.678589,1075060.961116,175.09091583040512,5.820644257740719,10.207939508506602,2929,5.257741211667913,0.4030924386192767,38.59447004608296,4.176267281106005,38.59447004608296,4.176267281106005,38.59447004608296,4.176267281106005,38.59447004608296,3.686635944700467,REAL_CONTINUATION
DOLOUSDT,2026-08-14 17:05:00+00:00,0.02348,8.560477001703571,10.39794608472402,82.71604938271591,0.8724279835390942,636897.99982,1723826.63917,484.83348501523545,35.836493621359395,12.541886069889909,13874,28.089758731229963,0.5484851057763209,28.2793867120954,-2.640545144804096,37.43611584327087,-2.640545144804096,38.3304940374787,-2.640545144804096,38.3304940374787,-2.640545144804096,REAL_CONTINUATION
OGNUSDT,2026-07-04 11:00:00+00:00,0.01671,9.9940155595452,10.419161676646716,95.97701149425284,0.9655172413793098,646271.78517,1856667.19349,437.9513458589138,17.004459535179148,8.135810377962827,11435,18.24491424012764,0.5274984393761291,20.58647516457213,8.677438659485336,20.58647516457213,8.677438659485336,37.64213046080192,8.677438659485336,37.64213046080192,8.677438659485336,REAL_CONTINUATION
NAORISUSDT,2026-06-21 21:35:00+00:00,0.03052,8.027522935779817,12.87878787878789,62.659846547314594,0.6675191815856771,337303.68368,1642064.03368,157.6041506134696,68.23124044088709,8.88962326503635,4809,32.42022471910112,0.6707867593128681,37.61467889908259,8.027522935779817,37.61467889908259,8.027522935779817,37.61467889908259,8.027522935779817,37.94233289646134,8.027522935779817,REAL_CONTINUATION
ALCHUSDT,2026-05-10 17:50:00+00:00,0.08211,10.705151625867735,10.963576562309662,97.66666666666649,0.9788888888888878,731373.07229,1371256.0392999991,663.9015932078061,148.93091182305696,3.296565555276998,6933,51.642458100558656,0.4646598688217067,36.28059919620021,5.45609548167092,36.28059919620021,5.45609548167092,36.28059919620021,5.45609548167092,36.28059919620021,5.45609548167092,REAL_CONTINUATION
BROCCOLIF3BUSDT,2026-07-27 14:30:00+00:00,0.005721,5.243838489774522,6.160308015400773,85.22727272727273,0.8721590909090912,157972.522327,1372034.142493,57.97624108377786,28.351746484119523,5.758017492711387,2073,13.873954266592303,0.6538721910522122,13.966089844432773,3.9153994056982944,15.36444677503932,3.9153994056982944,30.2045097011012,3.9153994056982944,69.23614752665617,3.9153994056982944,REAL_CONTINUATION
GTCUSDT,2026-03-20 03:40:00+00:00,0.089,6.741573033707882,11.363636363636376,60.0,0.7,448845.6926,1853105.3602,339.9037912718518,432.5248711977045,8.045977011494255,1674,47.82857142857143,0.6499552668314946,29.21348314606742,-6.741573033707859,29.21348314606742,-7.86516853932584,29.21348314606742,-7.86516853932584,29.21348314606742,-7.86516853932584,REAL_CONTINUATION
AGTUSDT,2026-08-04 16:00:00+00:00,0.014209,9.120979660778383,12.596038626911945,72.52378287632911,0.7375489647453837,422302.356128,1428283.936375,217.73229817026225,67.97420636837559,6.041932285026208,7769,24.97401553710153,0.5867207536154493,27.40516574002394,7.980857203181091,27.40516574002394,5.566894221971985,27.40516574002394,2.8925329016820323,27.40516574002394,2.8925329016820323,REAL_CONTINUATION
BMTUSDT,2026-04-02 16:00:00+00:00,0.01477,8.192281651997302,9.355932203389816,87.68115942028997,0.8913043478260888,187655.11835,1496314.63254,70.06885366236585,11.198483091613191,9.663250366032216,4996,7.360589318600368,0.566925121869451,27.014218009478675,5.213270142180093,27.014218009478675,2.5727826675693954,27.014218009478675,2.5727826675693954,27.014218009478675,-0.6093432633716978,REAL_CONTINUATION
MAGMAUSDT,2026-04-08 15:25:00+00:00,0.11005,13.539300318037274,21.28627308287092,63.675213675213705,0.641880341880342,986409.42482,1915117.56209,592.7496603627676,55.7798001432014,10.236220472440948,8619,27.3474352194606,0.6011422918715579,21.044979554747844,12.48523398455248,21.044979554747844,12.48523398455248,26.30622444343482,12.48523398455248,34.27532939572924,12.48523398455248,REAL_CONTINUATION
BNTUSDT,2026-04-19 15:30:00+00:00,0.3088,6.994818652849744,10.23391812865495,68.57142857142865,0.7174603174603184,523567.2134,1396062.8438,298.3797400918943,197.07523631006697,2.2928267278087056,10151,130.55948553054662,0.5317045962297836,26.29533678756477,1.7163212435233,26.29533678756477,0.0,26.29533678756477,0.0,26.29533678756477,0.0,REAL_CONTINUATION
APRUSDT,2026-05-18 01:05:00+00:00,0.13897,7.46923796502843,8.646697942980875,86.64440734557604,0.9015025041736238,500139.09923,1772702.3030899998,203.1675109476629,57.25244029710672,7.220351664796132,8969,40.75274517228323,0.5811812488315942,8.77887313808734,3.353241706843191,24.9622220623156,3.353241706843191,25.890479959703526,3.353241706843191,26.36540260487874,3.353241706843191,REAL_CONTINUATION
DODOXUSDT,2026-05-14 15:15:00+00:00,0.020035,16.48614923883205,17.373262673732647,95.05035971223016,0.96,583519.193659,1721107.926633,314.4297359277327,47.51861256594926,13.567330408369903,8601,35.05842391304348,0.5601598409409212,23.913151984027948,11.005739955078608,25.485400549039184,11.005739955078608,25.485400549039184,4.816571000748682,25.485400549039184,2.4956326428749787,REAL_CONTINUATION
FLNCUSDT,2026-06-01 12:10:00+00:00,21.08,6.9734345351043725,9.8095238095238,71.35922330097102,0.7524271844660202,258489.4722,1923504.2118,386.7030260108394,4.776238515753494,13.80053908355794,5337,6.193211488250653,0.5485677296376947,9.108159392789371,3.984819734345368,9.155597722960174,3.984819734345368,24.810246679316883,3.984819734345368,27.41935483870968,3.984819734345368,REAL_CONTINUATION
CETUSUSDT,2026-08-08 14:35:00+00:00,0.01911,5.0235478806907485,9.324253535882663,53.93258426966305,0.5505617977528099,792204.99674,1638374.61714,779.9952398535709,67.21386324240025,9.189497716894968,11540,53.674418604651166,0.521764087200852,24.48979591836736,4.238618524332827,24.48979591836736,4.238618524332827,24.48979591836736,-2.197802197802201,24.48979591836736,-2.93040293040292,REAL_CONTINUATION
