threshold,n,share_of_events,real,real_rate,lift,recall_real,mfe2h_median,mae2h_median,mfe4h_median
all,267,1.0,46,0.17228464419475656,1.0,1.0,9.725802671666273,1.6222118234284766,10.309278350515472
>=40,158,0.5917602996254682,41,0.25949367088607594,1.506191524490919,0.8913043478260869,11.801418105776763,2.283817058639126,12.17210482781297
>=50,105,0.39325842696629215,36,0.34285714285714286,1.9900621118012423,0.782608695652174,12.80409731113956,2.8485001260398324,14.852182074143606
>=60,74,0.27715355805243447,28,0.3783783783783784,2.1962397179788486,0.6086956521739131,14.893220799368068,3.561263678720395,15.810982335825177
>=70,56,0.20973782771535582,25,0.44642857142857145,2.5912267080745344,0.5434782608695652,15.621734587251822,4.245089251774914,17.57479867582191
>=80,34,0.12734082397003746,15,0.4411764705882353,2.5607416879795397,0.32608695652173914,17.030414235737645,4.929909599339521,18.199144679999325
>=90,16,0.0599250936329588,10,0.625,3.6277173913043477,0.21739130434782608,23.008455621146048,5.160148400648257,23.008455621146048
