ts,xsec_recommended,vol_momentum,blend,buy_hold
2021-01-03 00:00:00+00:00,1.094991634488491,1.051055939014386,1.0745074078147911,1.0979375756884888
2021-01-10 00:00:00+00:00,1.3518023951682148,1.1691260039230167,1.2619242558537882,1.3731553474709
2021-01-17 00:00:00+00:00,1.7646885164933508,1.2299783242624431,1.483716116264141,1.6461333608741464
2021-01-24 00:00:00+00:00,2.0277073688188096,1.2947322417189424,1.6384302666236097,1.8782599150869972
2021-01-31 00:00:00+00:00,2.4511020368128817,1.378440679384458,1.8617173468527346,2.2483801580057166
2021-02-07 00:00:00+00:00,3.8602141591354324,1.5829105255292764,2.511498430929728,2.982173279799713
2021-02-14 00:00:00+00:00,4.389517275150658,1.9166786362446018,2.952147795373112,4.232185747652958
2021-02-21 00:00:00+00:00,5.19671156582579,2.068244602041377,3.344349995435155,4.801054912877493
2021-02-28 00:00:00+00:00,4.809559846315016,1.8584200469886052,3.0543354952691426,3.9322061699248425
2021-03-07 00:00:00+00:00,5.271915110443367,2.0048271885418725,3.32624843357549,4.965528549669536
2021-03-14 00:00:00+00:00,7.427738517499276,2.238552639572616,4.202857241484392,6.980046866027727
2021-03-21 00:00:00+00:00,7.949430950202428,2.253690884101777,4.365165444801024,7.059920310061722
2021-03-28 00:00:00+00:00,7.285420784965805,2.2680462003877686,4.19587897766939,7.280126740475275
2021-04-04 00:00:00+00:00,7.775729610300622,2.410546952016383,4.471712038568597,8.188319300743304
2021-04-11 00:00:00+00:00,8.577525503150293,2.567096143966286,4.849217938660809,9.390666897806858
2021-04-18 00:00:00+00:00,8.044463903511398,2.657264425470844,4.7844832021643855,10.592737234436937
2021-04-25 00:00:00+00:00,6.7858470573916625,2.491015561793299,4.264532507352479,8.952977695483424
2021-05-02 00:00:00+00:00,8.301266846430861,2.757997349041804,4.969344868435417,11.683118519769748
2021-05-09 00:00:00+00:00,7.9558209530702,2.9369555519971007,5.02443568543709,13.578606233244344
2021-05-16 00:00:00+00:00,6.211922539989562,2.7797514620831683,4.334277382736434,12.137882366822684
2021-05-23 00:00:00+00:00,3.1686899093307535,2.398421137447272,2.951507402320394,6.171548028355907
2021-05-30 00:00:00+00:00,3.8343778778460678,2.398421137447272,3.285302015555461,7.239377791974907
2021-06-06 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,8.002016436051246
2021-06-13 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,7.073553254881339
2021-06-20 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,6.602425146872258
2021-06-27 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,5.477649214484709
2021-07-04 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,6.3368111153074125
2021-07-11 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,6.663058940325889
2021-07-18 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,5.74876601638111
2021-07-25 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,6.92124955594525
2021-08-01 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,7.443228760738899
2021-08-08 00:00:00+00:00,4.725380594066355,2.398421137447272,3.6562604705802864,8.265513005443806
2021-08-15 00:00:00+00:00,4.725380594066355,2.405512443588896,3.6616658127074486,10.469092658578063
2021-08-22 00:00:00+00:00,4.725380594066355,2.473714006784961,3.713380987621832,11.82665025702838
2021-08-29 00:00:00+00:00,5.733637347782489,2.454296567186469,4.080443276165372,11.958583900101738
2021-09-05 00:00:00+00:00,6.220118474611387,2.639778070742087,4.408283285634456,14.114430990750119
2021-09-12 00:00:00+00:00,5.978939051201477,2.4189406510950966,4.145401191215024,13.797466943618018
2021-09-19 00:00:00+00:00,5.607061618969994,2.3423974138059562,3.9539677688110197,13.726330770976931
2021-09-26 00:00:00+00:00,5.5954337049139875,2.204885157039796,3.8673130795555273,12.207792947201291
2021-10-03 00:00:00+00:00,5.5954337049139875,2.2422101032954584,3.899980301114101,14.30443724515105
2021-10-10 00:00:00+00:00,5.170110851770186,2.202081158986413,3.716541117599693,13.546019780381712
2021-10-17 00:00:00+00:00,5.554140516476941,2.2397904872173537,3.8856659425657716,14.080653176822787
2021-10-24 00:00:00+00:00,6.66115193460939,2.2952803793059897,4.310963236152875,14.99185241215689
2021-10-31 00:00:00+00:00,6.68763168160685,2.43765240210189,4.459551252016882,16.77370140418932
2021-11-07 00:00:00+00:00,7.86778918032449,2.5112009595627174,4.914741300222621,18.23442269211053
2021-11-14 00:00:00+00:00,7.134762076282989,2.4869520664480858,4.65973536402103,18.07090169168468
2021-11-21 00:00:00+00:00,6.861271716576209,2.4118399759237894,4.508579467070286,17.913668737530777
2021-11-28 00:00:00+00:00,7.728612101522435,2.4126363172295506,4.798657218369843,19.450063428372168
2021-12-05 00:00:00+00:00,6.016196945352068,2.3047775923302947,4.145752844484387,15.21203865936165
2021-12-12 00:00:00+00:00,6.137307504476689,2.292471010549224,4.182007186249377,15.127615934652285
2021-12-19 00:00:00+00:00,5.920761338790406,2.265739686780131,4.09477251578286,14.26686986917178
2021-12-26 00:00:00+00:00,7.137747132350195,2.3105214066806052,4.550342224020778,17.08551181775932
2022-01-02 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,16.336978957360195
2022-01-09 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,14.075094774055671
2022-01-16 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,15.238033288485322
2022-01-23 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,10.786425517332384
2022-01-30 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,10.731363503525012
2022-02-06 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,12.550772508668008
2022-02-13 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,11.516464555400026
2022-02-20 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,10.495918631119471
2022-02-27 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,10.082672370863964
2022-03-06 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,10.129227618527056
2022-03-13 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,10.0927954631285
2022-03-20 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,11.56481772360536
2022-03-27 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,13.696140131851378
2022-04-03 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,15.037707478155951
2022-04-10 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,12.38944913604558
2022-04-17 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,11.499718603279733
2022-04-24 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,11.494845322904421
2022-05-01 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,9.860333592443874
2022-05-08 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,9.153747926178852
2022-05-15 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,6.880678515878552
2022-05-22 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,6.430895652478363
2022-05-29 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.88898996540933
2022-06-05 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.9499335850816655
2022-06-12 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.633547119446283
2022-06-19 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.355871227220349
2022-06-26 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.826035700729788
2022-07-03 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.452009347871498
2022-07-10 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.807137068023208
2022-07-17 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.951850450651359
2022-07-24 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.503673766798494
2022-07-31 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,6.0314372117416495
2022-08-07 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,6.397265994224134
2022-08-14 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,6.53155935163342
2022-08-21 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.510484555630194
2022-08-28 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.977226194035822
2022-09-04 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.342844139157035
2022-09-11 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.664779568472294
2022-09-18 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.806456132529151
2022-09-25 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.962033372030926
2022-10-02 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.786348896984268
2022-10-09 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.039460527444165
2022-10-16 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.748954548082237
2022-10-23 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.803353900109076
2022-10-30 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.223983600797125
2022-11-06 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,5.340178137939058
2022-11-13 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.832921659522621
2022-11-20 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.652981423910256
2022-11-27 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.9131576837278583
2022-12-04 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,4.039746288122392
2022-12-11 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.88129696186874
2022-12-18 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.3989020638042824
2022-12-25 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.3019615995022007
2023-01-01 00:00:00+00:00,6.199989012951955,2.242877040631596,4.181081182609938,3.21449892038434
