strategy,fold,oos_from,oos_to,params,oos_cagr,oos_sharpe,oos_maxdd,oos_trades,oos_frac_coins_pos,bh_cagr,bh_sharpe,bh_maxdd
xsec_mom,0,2021-01,2021-12,"[""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 120, \""rebalance\"": 14, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 120, \""rebalance\"": 14, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.0}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.0}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 8, \""lookback\"": 120, \""rebalance\"": 14, \""thresh\"": 0.5}""]",20.98536485713164,3.3770571803995977,-0.568388636051963,2672,1.0,14.57240748595194,3.002250399743807,-0.6354871537748986
xsec_mom,1,2022-01,2022-12,"[""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.0}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.0}""]",-0.4102366725050548,-1.0850856817352708,-0.4476504931149651,2038,0.0,-0.8041460049112251,-1.336478292754263,-0.8066637504028741
xsec_mom,2,2023-01,2023-12,"[""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 3, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}""]",0.8954794094162766,1.5765380652334535,-0.18826427867775797,1559,1.0,1.3399751414327228,1.6988858906807895,-0.44952701172047105
xsec_mom,3,2024-01,2024-12,"[""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 3, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}""]",0.8784950489837207,1.4270614394834957,-0.2958526016395002,1729,1.0,0.3072312614292849,0.7338205414806741,-0.6066160587605687
xsec_mom,4,2025-01,2025-12,"[""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 3, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}""]",-0.14302920984113765,-0.5592178131634672,-0.18881000900780698,1115,0.0,-0.6564488208722379,-0.9198888892220664,-0.7002642192442865
xsec_mom,5,2026-01,2026-12,"[""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": false, \""k\"": 5, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 8, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}"", ""{\""btc_regime\"": 0, \""inv_vol\"": true, \""k\"": 3, \""lookback\"": 30, \""rebalance\"": 7, \""thresh\"": 0.5}""]",-0.4825531962472692,-2.89304000636411,-0.36287040995356135,730,0.0,-0.4439581661733836,-0.7198697390303919,-0.5013141305118956
