strategy,params,is0_cagr,is0_sharpe,is0_maxdd,is0_trades,oos0_cagr,oos0_sharpe,oos0_maxdd,oos0_trades,is1_cagr,is1_sharpe,is1_maxdd,is1_trades,oos1_cagr,oos1_sharpe,oos1_maxdd,oos1_trades,is2_cagr,is2_sharpe,is2_maxdd,is2_trades,oos2_cagr,oos2_sharpe,oos2_maxdd,oos2_trades,is3_cagr,is3_sharpe,is3_maxdd,is3_trades,oos3_cagr,oos3_sharpe,oos3_maxdd,oos3_trades,is4_cagr,is4_sharpe,is4_maxdd,is4_trades,oos4_cagr,oos4_sharpe,oos4_maxdd,oos4_trades,is5_cagr,is5_sharpe,is5_maxdd,is5_trades,oos5_cagr,oos5_sharpe,oos5_maxdd,oos5_trades,full_cagr,full_sharpe,full_maxdd,full_trades
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 0, ""fast"": 10, ""regime"": 0, ""sizing"": ""full"", ""slow"": 50}",0.2381012917397458,0.6972260523967085,-0.551766118917872,1180,4.748470055783773,2.68328762923194,-0.3579965908661431,1342,0.8230109518613373,1.372908299811381,-0.551766118917872,2522,-0.3584854042279858,-1.8238536541412502,-0.3754692258869521,578,0.483608366236119,1.0388892611109417,-0.551766118917872,3100,0.3331584736019093,0.9195718204501624,-0.33501294336483445,1146,0.45741496097930856,1.0195546540850664,-0.551766118917872,4246,-0.0008117015278794604,0.2456665164751726,-0.4319483714488581,1269,0.3907860793367035,0.9207530999181257,-0.551766118917872,5515,-0.39770864487172697,-1.5082233612615124,-0.42081388615205817,781,0.2564550240364736,0.7210994750668016,-0.558107929629138,6296,-0.25066735816059127,-1.8455893089883422,-0.2030572604352685,406,0.20745924766279278,0.6424132040018401,-0.6406074026572903,6702
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 0, ""fast"": 10, ""regime"": 0, ""sizing"": ""voltarget"", ""slow"": 50}",0.21218734293375374,0.9472094615668449,-0.23012851236377097,1180,1.3401128528847535,2.874771656148855,-0.13509726081164886,1342,0.43021780284750744,1.5330782891194548,-0.23012851236377097,2522,-0.2466128432835386,-1.9597920760975363,-0.25352552767411585,578,0.25963732868525224,1.0943383396614377,-0.32168229146555116,3100,0.2957926285421093,1.064985702015958,-0.23304672714460306,1146,0.26558965966271075,1.0866308376190843,-0.34720948708457566,4246,0.11424405710345997,0.5089485422431171,-0.30468501852580443,1269,0.248785756546839,1.0033900046334878,-0.34720948708457566,5515,-0.27327424105782183,-1.4201143878647238,-0.2853937285154192,781,0.16864572795120947,0.7513779149756641,-0.3641770852618701,6296,-0.18267319660792192,-1.6196119338551307,-0.15173473386957081,406,0.13692997839440957,0.6527348488221888,-0.45049556179859584,6702
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 200, ""fast"": 10, ""regime"": 0, ""sizing"": ""full"", ""slow"": 50}",0.17800922501007022,0.6826964187709416,-0.357709197276426,965,2.7637433579742927,2.1861379446850204,-0.3955239073308676,1278,0.5798955369118848,1.235329590884154,-0.3955239073308675,2243,-0.0025629846315737836,-0.3982701077390867,-0.005298117989257056,0,0.44250368789220706,1.1056694247361354,-0.3955239073308675,2243,0.2782185564765134,0.8165697593035642,-0.32530976632452935,1097,0.4137380847896701,1.058687143020411,-0.3955239073308675,3340,-0.039901472176280706,0.1619381183200616,-0.4542310928022172,1184,0.347276509746133,0.9217109867745839,-0.45423109280221796,4524,-0.3841923304347713,-1.4390070048683354,-0.40515287577090464,759,0.2253822972396482,0.7036461207127634,-0.546159307008595,5283,-0.03079581920566654,-0.3504464033583785,-0.07339059959460748,91,0.20351457306469123,0.6694659768699465,-0.563384586160198,5374
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 200, ""fast"": 10, ""regime"": 0, ""sizing"": ""voltarget"", ""slow"": 50}",0.14404693473091057,0.8030672783606847,-0.23381646196972927,965,0.9990710092500708,2.4507506492711473,-0.14594307050423827,1278,0.3166277776609572,1.3431889605974334,-0.23381646196972927,2243,-0.0008667048053860871,-0.3056749218753479,-0.00224292256459635,0,0.24644226736368213,1.2019518765256254,-0.23381646196972927,2243,0.25914276726781416,0.966022120959378,-0.22224799410682128,1097,0.24854912321987932,1.1402573291480713,-0.23381646196972927,3340,0.08883857584941701,0.43447431718440316,-0.32058158164163997,1184,0.2302958650878475,1.020657255633401,-0.32058158164163875,4524,-0.2696488776572048,-1.3981765871436265,-0.2809025705011772,759,0.15420700118465902,0.7464877413654741,-0.36018106494535096,5283,-0.0210362150921396,-0.274236306298325,-0.061570793778284005,91,0.13970596067468777,0.7078465462482469,-0.37680103635925755,5374
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 0, ""fast"": 10, ""regime"": 200, ""sizing"": ""full"", ""slow"": 50}",0.14237911033609607,0.658480762631838,-0.2641080698647247,774,1.8445719676846521,1.975667667338614,-0.34235319597513336,1048,0.43662544195410846,1.1387388504591012,-0.3423531959751339,1822,-0.1507656876710216,-2.4402140610825294,-0.15322729827593096,150,0.2965030434343283,0.927586818306256,-0.3423531959751339,1972,0.05937410203635163,0.3406293028937915,-0.27746987404706736,885,0.2536015357777055,0.8370563050788977,-0.420101094484136,2857,0.005493925155175328,0.23898474163248912,-0.3579188086876788,1024,0.22346686481865086,0.7428316715254307,-0.420101094484136,3881,-0.2894660224343937,-1.4871514974071136,-0.3174687756998744,484,0.1465650860526162,0.5702611755009103,-0.4798486299500878,4365,-0.08368392671920344,-1.2757723348675696,-0.07710865341398643,145,0.12689664658951405,0.5269861513807248,-0.5114365042795865,4510
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 0, ""fast"": 10, ""regime"": 200, ""sizing"": ""voltarget"", ""slow"": 50}",0.12613775653143278,0.8369883316893391,-0.1705145135841204,774,0.6717792985369004,2.1813769177157636,-0.1288600034950096,1048,0.2435590573896036,1.2736202679324116,-0.1705145135841204,1822,-0.08422222011385061,-2.498218187251689,-0.085592697021311,150,0.17098047481183176,1.0341919333265368,-0.1738524661454529,1972,0.08135143901243214,0.4721002723806798,-0.18174043334725098,885,0.15554931848843911,0.9142956480645286,-0.2621314722106183,2857,0.13220168012945255,0.6023280808711068,-0.23716236696499293,1024,0.15779559769767193,0.8643694186250128,-0.2621314722106183,3881,-0.19099242448685483,-1.4131131320585533,-0.20502237601790962,484,0.10853598646370566,0.6486821315826254,-0.2927525054379526,4365,-0.04052650018530446,-0.8264609966095449,-0.04053401724660888,145,0.09624833118720288,0.6038680277292547,-0.31481558332208925,4510
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 200, ""fast"": 10, ""regime"": 200, ""sizing"": ""full"", ""slow"": 50}",0.11295969047552012,0.571882097569438,-0.2617137592835781,709,0.9324166383998653,1.4013263318760147,-0.3777193114861258,994,0.27906670702239067,0.8610402751602089,-0.3777193114861257,1703,-0.0016166640582391256,-0.2303833037712722,-0.005295728331313199,0,0.21831085907764614,0.7717077804085285,-0.3777193114861257,1703,0.04208749925615973,0.28780541975526686,-0.2737529561060402,855,0.18700975645132845,0.6939096645819842,-0.48370292395533476,2558,-0.02704936086599674,0.16618029753231123,-0.37875607082237006,1007,0.16207682864842599,0.6088449003288957,-0.4977859685181266,3565,-0.2830946184154082,-1.4506750202682688,-0.3075634790400513,470,0.09728234915933287,0.4464257749879263,-0.49929182222821733,4035,-0.012599073111927206,-0.240786466258349,-0.04156947334718186,56,0.08842895403272721,0.4257886010041939,-0.5079055463438631,4091
ema_atr,"{""atr_k"": 2.0, ""btc_regime"": 200, ""fast"": 10, ""regime"": 200, ""sizing"": ""voltarget"", ""slow"": 50}",0.10483362137849328,0.7391691278102668,-0.17744431934128957,709,0.46650104253829805,1.7038479466762912,-0.13899296594294008,994,0.18639583005912863,1.0513039478995228,-0.17744431934128957,1703,-0.0006421890067059843,-0.21617213507064859,-0.0022426822615985165,0,0.1468056239301847,0.9415454426816026,-0.17744431934128957,1703,0.06699618607031566,0.4103679033324394,-0.17800661267322881,855,0.13310730455504927,0.8233341264534343,-0.2145064022265828,2558,0.10604402897271537,0.51396680125312,-0.2548341930058976,1007,0.1346987382711773,0.7724442475848823,-0.25483419300589816,3565,-0.1911405451339554,-1.4164931092532564,-0.203648721019402,470,0.08913498175633494,0.5617748164493698,-0.2915304407825714,4035,-0.00846604509849358,-0.1896182968118057,-0.03528721128793888,56,0.08131239858853512,0.5352713954158022,-0.2993283351914702,4091
ema_atr,"{""atr_k"": 3.0, ""btc_regime"": 0, ""fast"": 10, ""regime"": 0, ""sizing"": ""full"", ""slow"": 50}",0.27564483522868133,0.7566708132216319,-0.6068915485607269,692,7.263709440351414,2.9657023818866106,-0.3969563945071737,738,1.0418003525213146,1.5247236431285456,-0.6068915485607269,1430,-0.3388942157410322,-1.557393118412608,-0.3827161059899148,359,0.6342380374481831,1.193320143947994,-0.6068915485607269,1789,0.6096588049106224,1.353932409392061,-0.32309508785443186,614,0.6301174674076573,1.2110210869579268,-0.6068915485607269,2403,0.09678056195896567,0.4399631858209765,-0.4250777047234996,768,0.5514358847027718,1.1117270031425406,-0.6068915485607269,3171,-0.39544256812400647,-1.4431741467864947,-0.41895360826327077,489,0.38359255142588133,0.9049360519204467,-0.6068915485607269,3660,-0.2037061255644813,-1.4060614723281282,-0.17722150391871927,273,0.32600399075076636,0.8309642555415122,-0.632864326946873,3933
ema_atr,"{""atr_k"": 3.0, ""btc_regime"": 0, ""fast"": 10, ""regime"": 0, ""sizing"": ""voltarget"", ""slow"": 50}",0.23688414928769363,0.9979732384203072,-0.2773587660150636,692,1.7343953229245708,3.007513554544584,-0.14799369251853312,738,0.5097972116916691,1.6324603271216362,-0.2773587660150636,1430,-0.23566023076317366,-1.701887032357975,-0.2635810193979611,359,0.31915763303166833,1.2099278225507888,-0.2976145804554202,1789,0.5124873903173159,1.5010923227264543,-0.22467158947395283,614,0.3495573805067449,1.2632547248173105,-0.2976145804554202,2403,0.21717901473415901,0.7554857829690826,-0.3087487199350063,768,0.33642036137439724,1.1879594724749492,-0.3087487199350054,3171,-0.2616245867561737,-1.2764565650454445,-0.2733404500524128,489,0.24253077691094949,0.9396671688151971,-0.367296181302899,3660,-0.14618872919589931,-1.2511199959774133,-0.13340723734711568,273,0.2071743343320358,0.8508581673710979,-0.43732453371051294,3933
