feature,event_median,base_median,event_p25,event_p75,base_p75,base_p90,share_event_gt_base_p90,share_event_gt_base_p75,n_events
atr_pct,0.025647604452679693,0.013592130594072488,0.018533309734524613,0.03680458080714494,0.018933582164937103,0.026367990780334534,0.48107058660379975,0.735820274580502,7211
bb_width,0.06046161455501912,0.028222668722401298,0.03556456592589034,0.09571486768317411,0.0448640994107584,0.06942129008687045,0.4297600887532936,0.6405491610040216,7211
atr_ratio,1.0966047636823135,0.9402639425409368,0.9064258009623911,1.363257803594614,1.094809001800911,1.283870465387452,0.3110831234256927,0.5032185838231178,7146
range24_pct,0.7541666666666667,0.48194444444444445,0.45555555555555555,0.9319444444444445,0.7513888888888889,0.9069444444444444,0.29558864849676875,0.5021073335206518,7118
trades_z,0.18068915189388218,-0.29145346050577314,-0.36463565826169064,1.3785471004195764,0.21313005463650656,1.0831094827061947,0.28747746498405213,0.48814311468589655,7211
vol_ratio,1.1417278209258443,0.7207766961534366,0.6641557902992905,2.1809717481558915,1.1856043755988184,1.9599957265418493,0.2873387879628346,0.48218000277354045,7211
vol_z,0.15692651701808308,-0.2949481032320287,-0.3657829647169698,1.3136105651325864,0.20677130448200223,1.0808678231671993,0.28373318541117737,0.4800998474552767,7211
bb_width_pct,0.7194444444444444,0.4888888888888889,0.4263888888888889,0.9138888888888889,0.7513888888888889,0.9069444444444444,0.26004495644844056,0.4679685304860916,7118
ret_168h,0.012545908623475821,-0.007409236848604617,-0.16326967695877204,0.17625329815303425,0.06894499276543009,0.17008453534769313,0.256962911126662,0.40041987403778867,7145
vol_ratio_4h,1.0726468236222102,0.7961956861706025,0.6844456805423362,1.8515747219646972,1.212663721892142,1.853116833236361,0.24975731521286923,0.4330883372625156,7211
ret_24h,-0.011297234125438038,-0.0009699321047527132,-0.07733771939703349,0.056800244213489504,0.0248842592592593,0.05940316749421197,0.24434891138538345,0.3387879628345583,7211
ret_72h,-0.007654455986878195,-0.002956157904311363,-0.12485696245322353,0.09650392319054568,0.044267877412031975,0.10576492235726181,0.2350575509638053,0.35806406878380254,7211
vol_slope_6h,1.0282375660379905,0.9283135173402215,0.7847321489532811,1.4034637396786411,1.2157250111435889,1.5509217521780434,0.18416308417695187,0.35418111218971016,7211
ret_4h,-0.01649027811961601,0.0,-0.047845864046131004,0.005403256779609511,0.009467942780693628,0.022574280082470505,0.14505616419359313,0.21453335182360284,7211
rsi14,44.5937257062557,49.54639574272211,34.67427803640016,55.70885794781712,57.363102910911174,64.65339178759338,0.12869227568991817,0.22299265011787547,7211
ret_1h,-0.010362694300518172,0.0,-0.027891105811339856,0.0001612351925590616,0.00480675928336427,0.011166945840312525,0.1135764803772015,0.1736236305644155,7211
dist_30d_high,-0.23671447604160212,-0.18857860056479447,-0.3952595606826801,-0.10740145983719143,-0.10560932068025941,-0.05177514792899407,0.10264900662251655,0.24460120932911028,6946
dist_7d_high,-0.1371204701273261,-0.08320895522388061,-0.2552271313005601,-0.06916192026037449,-0.043217286914765896,-0.020350877192982564,0.05877448937057107,0.14561622898429902,7197
taker_buy_4h,0.48824830531151053,0.49337763073342167,0.46467945883285655,0.511984440494091,0.5215397456971229,0.5522441984278221,0.04992372763833033,0.1736236305644155,7211
taker_buy,0.47824642503103626,0.4935635329542849,0.4418979767557717,0.5143602486596415,0.5409505633830518,0.5930786098703031,0.03494660934683123,0.1293856607960061,7211
dist_24h_high,-0.0686908909905426,-0.028431372549019507,-0.12733911692577693,-0.03443267353957474,-0.013868098098824166,-0.006425233644859807,0.030231590625433364,0.0783525169879351,7211
above_ema50,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7211
above_ema200,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7211
