config,cagr,sharpe,sortino,max_dd,calmar,total_x,cagr_ex2021,sharpe_ex2021,maxdd_ex2021,total_x_ex2021
xsec_mom RECOMMENDED (fixed),0.5188020467742305,0.9500979787100465,1.0189974033876814,-0.661375847226617,0.7844284742930228,10.68656570117716,0.12369239828918355,0.4775119600619952,-0.5119776226781294,1.7236426836971193
vol_momentum (fixed),0.21290478127672618,0.8287274991238639,0.7345972726861356,-0.41813849897608224,0.5091728740550735,2.9865591490967076,0.06325970846383044,0.3688211163744573,-0.41813849897608213,1.3315750685359418
50/50 blend,0.40448794408205946,0.9857500297243987,1.0001433687966292,-0.4489964104224101,0.9008712201095824,6.858116546514525,0.11182252070190923,0.473204712439119,-0.430743486673143,1.6402734716175766
BUY & HOLD (equal weight),0.19116297770624557,0.6354446602472695,0.8562214355244326,-0.889058990330858,0.2150172033411477,2.6955174747619877,-0.31891679685519836,-0.12751519615597484,-0.8605597894714929,0.1664547280067586
