strategy,fold,oos_from,oos_to,params,oos_cagr,oos_sharpe,oos_maxdd,oos_trades,oos_frac_coins_pos,bh_cagr,bh_sharpe,bh_maxdd
vol_breakout,0,2021-01,2021-12,"[""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""voltarget\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""voltarget\"", \""v_mult\"": 1.5, \""v_n\"": 30}""]",0.4449991899678587,2.2706158206987896,-0.08364642869829098,335,0.5469387755102041,14.57240748595194,3.002250399743807,-0.6354871537748986
vol_breakout,1,2022-01,2022-12,"[""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}""]",-0.01938122670182607,-0.8137614582442814,-0.04009998408633786,25,0.05384615384615384,-0.8041460049112251,-1.336478292754263,-0.8066637504028741
vol_breakout,2,2023-01,2023-12,"[""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 2.0, \""v_n\"": 20}"", ""{\""atr_k\"": 2.0, \""btc_regime\"": 200, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 2.0, \""v_n\"": 20}""]",-0.02521200248280575,-0.2192388002303035,-0.06341453618451154,282,0.3384615384615384,1.3399751414327228,1.6988858906807895,-0.44952701172047105
vol_breakout,3,2024-01,2024-12,"[""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 20}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 20}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}""]",0.028576863175152845,0.24000050073698304,-0.1781976225454871,223,0.43076923076923074,0.3072312614292849,0.7338205414806741,-0.6066160587605687
vol_breakout,4,2025-01,2025-12,"[""{\""atr_k\"": 3.0, \""btc_regime\"": 200, \""n_in\"": 20, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 3.0, \""v_n\"": 20}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 20, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 20}""]",-0.06478230495165516,-0.6679128047842914,-0.09417752549586178,102,0.24166666666666664,-0.6564488208722379,-0.9198888892220664,-0.7002642192442865
vol_breakout,5,2026-01,2026-12,"[""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 20, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 20}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 40, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 55, \""n_out\"": 10, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 1.5, \""v_n\"": 30}"", ""{\""atr_k\"": 3.0, \""btc_regime\"": 0, \""n_in\"": 20, \""n_out\"": 20, \""regime\"": 0, \""sizing\"": \""full\"", \""v_mult\"": 2.0, \""v_n\"": 20}""]",-0.08112121066596945,-1.0442248417252442,-0.07417236395096205,106,0.33043478260869563,-0.4439581661733836,-0.7198697390303919,-0.5013141305118956
