ts,ema_atr,donchian,rsi_bb,vol_momentum,vol_breakout,xsec_mom,BUY_AND_HOLD
2021-01-03 00:00:00+00:00,1.0422099331919261,1.0278286795050484,1.0044607393370344,1.045567479876247,1.0443950904621213,1.1213316477089,1.1002373676152915
2021-01-10 00:00:00+00:00,1.120455375150202,1.0574905615182364,1.0088633400139382,1.1479602604270172,1.0579985666746217,1.2696108951757292,1.3795351227547183
2021-01-17 00:00:00+00:00,1.155634529515193,1.0636223115937609,1.008853871449036,1.2128168230755907,1.0754439989251439,1.3438012159457038,1.6513991636504297
2021-01-24 00:00:00+00:00,1.200018703325778,1.0771477243947583,1.008853871449036,1.277138563333077,1.0516393879125066,1.4506413151852633,1.8818787363218004
2021-01-31 00:00:00+00:00,1.2681311881965978,1.0993637876746456,1.008853871449036,1.3700591756966414,1.0828408653086514,1.6560576610576443,2.266969607269769
2021-02-07 00:00:00+00:00,1.415200478578201,1.1745722475930693,1.008853871449036,1.5935304031925124,1.1517726942129702,2.3055035229160734,3.0068296790674527
2021-02-14 00:00:00+00:00,1.6753945505136105,1.3332852362205743,1.008853871449036,1.971087230157252,1.3028053188402904,2.9763347848344686,4.267177162228429
2021-02-21 00:00:00+00:00,1.8139493947913574,1.4176402981331997,1.008853871449036,2.1624213640392544,1.3086325127826737,3.5485447489946673,4.840749697764775
2021-02-28 00:00:00+00:00,1.6427430691954354,1.355331032715761,1.008853871449036,1.9272907276075628,1.2790952401877316,3.0551350654514366,3.9647173744163684
2021-03-07 00:00:00+00:00,1.7595389978227078,1.3690036630592026,1.008853871449036,2.1363535664796927,1.2953889857333636,3.413646393151874,5.006583191036397
2021-03-14 00:00:00+00:00,1.9506756240215106,1.4340241364949422,1.008853871449036,2.549146821980357,1.389855176298602,4.735865244253337,7.037757403373795
2021-03-21 00:00:00+00:00,1.9696755287939922,1.446026642259634,1.008853871449036,2.577665067021834,1.4056979553297724,5.046835118556069,7.118291235434311
2021-03-28 00:00:00+00:00,1.9784582548924872,1.4400432828494965,1.0148819108701583,2.644547319886564,1.4063908069435518,5.357137351063805,7.340318317151521
2021-04-04 00:00:00+00:00,2.0870472884979483,1.4601783818277325,1.0169808009897965,2.8360720971029894,1.4347164173712026,5.531744336639277,8.256019749734131
2021-04-11 00:00:00+00:00,2.2244412362070003,1.5059886122015251,1.0169808009897965,3.0492277516131545,1.4487419767459546,5.994693174372764,9.468308272300778
2021-04-18 00:00:00+00:00,2.3066213615815885,1.5606405154510512,1.0169808009897965,3.2396374965028865,1.5143227962097323,7.993108049819761,10.68031724206415
2021-04-25 00:00:00+00:00,2.1754464080346234,1.5613292172694575,1.0175165753789528,2.955006766891196,1.5171575415356464,7.590938705552074,9.02700028638728
2021-05-02 00:00:00+00:00,2.3573857011550547,1.5675110160320247,1.0402440561974524,3.259990261720649,1.5222145630733033,9.871096199221366,11.779713723297004
2021-05-09 00:00:00+00:00,2.5117149890916437,1.5928574483358457,1.0402440561974524,3.511569532336051,1.5363536517251775,11.373463570013932,13.69087319608455
2021-05-16 00:00:00+00:00,2.4035890570020797,1.5663895327491437,1.0394798756438903,3.3433753400757413,1.5133244175968097,10.166432158348668,12.238237525903642
2021-05-23 00:00:00+00:00,2.088475178124835,1.513679601844261,0.9814352471678334,2.774305500743916,1.477553094066206,4.939819868385868,6.222573954085289
2021-05-30 00:00:00+00:00,2.111766577253164,1.513679601844261,1.0617950362730815,2.808092255969519,1.477553094066206,6.0717171366699025,7.299232459206373
2021-06-06 00:00:00+00:00,2.118137589408546,1.513679601844261,1.1012051960607856,2.827523189240948,1.477553094066206,6.825177399482421,8.068176546039078
2021-06-13 00:00:00+00:00,2.112531723594919,1.513679601844261,1.098810880901034,2.807662192881655,1.477553094066206,6.331529889377527,7.13203689648439
2021-06-20 00:00:00+00:00,2.1087114985004,1.513638171456291,1.0945142449392,2.7981250513428533,1.477553094066206,6.037895585349672,6.657013534361131
2021-06-27 00:00:00+00:00,2.101173706100509,1.5131706368843623,1.1269629873352118,2.782594417631943,1.477553094066206,5.570511421714119,5.522938033546908
2021-07-04 00:00:00+00:00,2.10449975183145,1.5171398290858547,1.1747542455799003,2.804976592890917,1.477553094066206,6.2446760731658735,6.389203424634851
2021-07-11 00:00:00+00:00,2.118118081548766,1.5247372147288407,1.1726748518109045,2.825224213160397,1.4784414658341969,6.934818648975313,6.718148643761303
