knob,value,cagr,sharpe,max_dd,cagr_ex2021,sharpe_ex2021
lookback,30,0.8956807316858595,1.2896622457213662,-0.5756964729436171,0.23580733702083334,0.6665028037789905
lookback,60,0.5188020467742305,0.9500979787100465,-0.661375847226617,0.12369239828918355,0.4775119600619952
lookback,90,0.6190212540285758,1.079067822943057,-0.6163320284532429,0.10899042426424188,0.45539915265672837
lookback,120,0.5960965997240122,1.0305563208185782,-0.5992386429421552,0.15748642048773775,0.534714730328624
k,3,0.5391430573982574,0.9484089301393526,-0.6279174963601781,0.13841517848541462,0.505937510313115
k,5,0.5188020467742305,0.9500979787100465,-0.661375847226617,0.12369239828918355,0.4775119600619952
k,8,0.6604090706892998,1.126977826563817,-0.5806390764316756,0.1834321597072639,0.5886858164922021
rebalance,7,0.5472244948269509,0.9888371477020623,-0.6392903518332028,0.08340010795766784,0.4126564784032346
rebalance,14,0.5188020467742305,0.9500979787100465,-0.661375847226617,0.12369239828918355,0.4775119600619952
rebalance,30,0.1978372005497031,0.605598357344197,-0.7158890993432345,-0.001370358835122154,0.24345569481924392
thresh,0.0,0.5188020467742305,0.9500979787100465,-0.661375847226617,0.12369239828918355,0.4775119600619952
thresh,0.5,0.43803593517528006,0.8945453795511349,-0.661375847226617,0.0749538905275533,0.3818591458963984
btc_regime,0,0.028293449889291944,0.43995052722919314,-0.9404049403975007,-0.3535566615354663,-0.3057642989068968
btc_regime,100,0.5507603205015352,0.9883195218532796,-0.5862450422913201,0.12474807736548499,0.4808769497679992
btc_regime,150,0.628576344499733,1.0681379691642894,-0.5862450422913197,0.22024458471870711,0.6352033352477272
btc_regime,200,0.5188020467742305,0.9500979787100465,-0.661375847226617,0.12369239828918355,0.4775119600619952
btc_regime,250,0.4117561823042817,0.8402854072509282,-0.6952966092818167,0.10099556342902605,0.4391939867815666
inv_vol,False,0.39900112347327976,0.8243088152952439,-0.6666641633370853,0.07619671060750366,0.40173558520539765
inv_vol,True,0.5188020467742305,0.9500979787100465,-0.661375847226617,0.12369239828918355,0.4775119600619952
